"","sales","ad_tv","ad_online","discount"
"1",52.61137,5.105617,3.646744,0
"2",50.46478,5.233105,3.38114,0
"3",50.15374,5.202212,3.550546,0.7571115
"4",49.68254,5.386699,3.570285,3.530379
"5",50.44613,4.96106,3.460531,5.498313
"6",51.72145,5.153207,3.801946,7.221106
"7",52.41671,5.212095,3.414461,8.05803
"8",50.20783,5.372658,3.392834,8.342831
"9",49.80781,4.838989,3.678594,7.840613
"10",48.31239,4.888777,3.328024,5.140985
"11",47.88267,4.98826,3.729422,1.550949
"12",50.1616,5.304741,3.482022,0
"13",53.04996,5.361181,3.898852,0
"14",54.94436,5.598479,3.983471,0
"15",55.6592,5.771718,3.883446,0
"16",56.93045,5.596252,3.858756,0
"17",55.90123,5.56335,3.860003,0
"18",53.55366,5.154682,3.570894,0
"19",54.61185,5.613012,4.053588,0
"20",55.97973,5.80335,3.866842,0
"21",56.99004,5.416371,4.040743,0
"22",55.33584,5.325497,3.75265,0
"23",53.83187,4.815327,3.449155,0
"24",51.34616,5.221818,3.57094,0
"25",50.00503,5.147932,3.824049,3.475357
"26",53.25696,5.313122,4.061864,6.731276
"27",57.36144,6.171988,4.251894,8.786685
"28",59.85835,6.03271,4.173697,10
"29",58.69771,5.866905,4.03526,10
"30",55.18328,4.806259,3.215429,10
"31",49.31784,4.915231,3.525015,10
"32",47.04841,4.807006,3.116056,10
"33",49.1463,5.184952,3.966165,10
"34",52.55813,5.647343,3.540033,10
"35",54.76848,5.474193,4.07415,9.920883
"36",53.75177,5.499233,3.47396,8.343947
"37",54.06863,5.448324,3.814155,6.629605
"38",52.40009,5.402094,3.29081,4.70446
"39",52.04357,5.131795,3.934307,2.876376
"40",53.2973,5.766319,3.599097,1.318798
"41",53.64115,5.57665,3.947917,0.1404728
"42",54.12641,5.421877,3.40893,0
"43",53.25705,5.394738,3.766126,0
"44",53.19899,4.898712,3.421737,0
"45",52.14864,5.199437,3.961363,0
"46",51.4801,5.379889,3.438847,0
"47",51.25153,5.241147,3.65346,0
"48",51.53637,5.260426,3.761963,0
"49",52.85838,5.007679,3.499896,0
"50",51.99757,5.162612,3.745742,0
"51",51.1832,5.034322,3.264837,0
"52",51.66665,5.433437,3.987666,0
"53",53.68603,5.585762,3.737848,0
"54",54.8108,5.789906,3.991727,0
"55",56.22104,6.006274,3.81543,0
"56",57.95157,5.996353,4.145054,0
"57",56.18564,5.256051,3.520201,0
"58",53.1067,5.024859,3.692161,0
"59",51.23576,5.36852,3.477423,0
"60",52.5411,5.392339,4.089876,0
"61",54.43064,5.702353,3.867643,0
"62",57.49455,6.251421,4.558975,0
"63",60.70609,6.020767,3.934107,0
"64",59.52381,5.585039,4.2402,0
"65",54.81726,5.248259,3.066451,0
"66",50.41422,4.952854,3.943089,0
"67",51.2397,5.519125,3.326665,0.4041526
"68",53.69476,5.669301,4.476691,1.362026
"69",57.97105,5.384596,3.814697,2.380235
"70",59.51863,5.025799,4.162131,2.59235
"71",56.00802,5.403771,3.52292,2.557966
"72",51.99603,5.253861,3.448183,2.743742
"73",51.21825,5.583096,4.033833,2.66162
"74",55.90384,6.38081,4.248678,2.128919
"75",59.78162,6.310873,4.437614,1.095825
"76",62.56448,6.383831,4.489573,0
"77",63.0978,5.877502,4.038078,0
"78",59.68022,5.638604,4.077817,0
"79",56.25901,5.17192,3.670091,0
"80",53.85725,5.60007,3.899286,0
"81",54.80824,5.785208,3.734496,0
"82",56.17266,5.711924,4.170317,0
"83",57.15595,5.576289,3.899131,0
"84",56.48019,5.771782,3.911537,0
"85",55.1562,5.112896,3.90336,0
"86",54.12175,5.607943,3.700763,0
"87",53.47932,5.575892,4.014146,0
"88",56.12374,6.037472,3.908522,0
"89",58.88189,5.957554,4.166289,0
"90",60.78303,6.129629,4.337105,0
"91",60.56914,5.441131,4.00987,0
"92",57.19578,5.430343,3.668081,0
"93",54.3089,5.61388,3.940931,0
"94",54.64949,5.769996,4.253029,0
"95",58.29502,6.052122,4.084922,0.5089987
"96",61.31576,6.323771,4.405433,2.272099
"97",59.94334,5.510371,3.698832,3.277218
"98",55.5738,5.24352,3.598671,4.340451
"99",50.21189,4.7919,3.291319,6.203729
"100",48.10178,4.758185,3.788561,9.32725
