Year,Passengers,TheYear
1970,7.3187,1970-01-01
1971,7.3266,1971-01-01
1972,7.7956,1972-01-01
1973,9.3846,1973-01-01
1974,10.6647,1974-01-01
1975,11.0551,1975-01-01
1976,10.8643,1976-01-01
1977,11.3065,1977-01-01
1978,12.1223,1978-01-01
1979,13.0225,1979-01-01
1980,13.6488,1980-01-01
1981,13.2195,1981-01-01
1982,13.1879,1982-01-01
1983,12.6015,1983-01-01
1984,13.2368,1984-01-01
1985,14.4121,1985-01-01
1986,15.4973,1986-01-01
1987,16.8802,1987-01-01
1988,18.8163,1988-01-01
1989,15.1143,1989-01-01
1990,17.5534,1990-01-01
1991,21.8601,1991-01-01
1992,23.8866,1992-01-01
1993,26.9293,1993-01-01
1994,26.8885,1994-01-01
1995,28.8314,1995-01-01
1996,30.0751,1996-01-01
1997,30.9535,1997-01-01
1998,30.1857,1998-01-01
1999,31.5797,1999-01-01
2000,32.577569,2000-01-01
2001,33.477398,2001-01-01
2002,39.021581,2002-01-01
2003,41.386432,2003-01-01
2004,41.596552,2004-01-01
2005,44.657324,2005-01-01
2006,46.951775,2006-01-01
2007,48.728837,2007-01-01
2008,51.488427,2008-01-01
2009,50.026967,2009-01-01
2010,60.640913,2010-01-01
2011,63.36031034,2011-01-01
2012,66.355274,2012-01-01
2013,68.197955,2013-01-01
2014,68.12323767,2014-01-01
2015,69.779346,2015-01-01
2016,72.446421,2016-01-01
2017,74.257326,2017-01-01
