ID,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,type,location,quality
1,7.2,0.34,0.34,12.6,0.048,7,41,0.9942,3.19,0.4,11.7,white,Texas,5
2,6,0.27,0.28,4.8,0.063,31,201,0.9964,3.69,0.71,10,white,Texas,5
3,6.9,0.26,0.49,1.6,0.058,39,166,0.9965,3.65,0.52,9.4,white,Texas,4
4,6.6,0.25,0.34,3,0.054,22,141,0.99338,3.26,0.47,10.4,white,California,6
5,7.1,0.17,0.43,1.3,0.023,33,132,0.99067,3.11,0.56,11.7,white,California,6
6,6,0.29,0.25,1.4,0.033,30,114,0.98794,3.08,0.43,13.2,white,California,6
7,7.2,0.57,0.06,1.6,0.076,9,27,0.9972,3.36,0.7,9.6,red,Texas,6
8,6.8,0.45,0.3,11.8,0.094,23,97,0.997,3.09,0.44,9.6,white,Texas,5
9,9.1,0.27,0.32,1.1,0.031,15,151,0.9936,3.03,0.41,10.6,white,Texas,5
10,7.8,0.32,0.33,10.4,0.031,47,194,0.99692,3.07,0.58,9.6,white,California,6
11,11.6,0.475,0.4,1.4,0.091,6,28,0.99704,3.07,0.65,10.03333333,red,California,6
12,6.9,0.23,0.34,2.7,0.032,24,121,0.9902,3.14,0.38,12.4,white,California,7
13,8.4,0.19,0.42,1.6,0.047,9,101,0.994,3.06,0.65,11.1,white,Texas,4
14,7.1,0.3,0.49,1.6,0.045,31,100,0.9942,3.4,0.59,10.2,white,Texas,5
15,7.6,0.665,0.1,1.5,0.066,27,55,0.99655,3.39,0.51,9.3,red,Texas,5
16,10.4,0.38,0.46,2.1,0.104,6,10,0.99664,3.12,0.65,11.8,red,California,7
17,7.4,0.3,0.49,8.2,0.055,49,188,0.9974,3.52,0.58,9.7,white,California,6
18,6.3,0.28,0.47,11.2,0.04,61,183,0.99592,3.12,0.51,9.5,white,California,6
19,12.7,0.59,0.45,2.3,0.082,11,22,1,3,0.7,9.3,red,California,6
20,5.9,0.24,0.3,2,0.033,28,92,0.99225,3.39,0.69,10.9,white,California,7
21,6.7,0.19,0.23,6.2,0.047,36,117,0.9945,3.34,0.43,9.6,white,California,6
22,7.1,0.12,0.3,3.1,0.018,15,37,0.99004,3.02,0.52,11.9,white,California,7
23,8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,red,Texas,5
24,6.8,0.31,0.32,7.6,0.052,35,143,0.9959,3.14,0.38,9,white,Texas,5
25,7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,white,California,6
26,5.8,0.22,0.29,1.3,0.036,25,68,0.98865,3.24,0.35,12.6,white,California,6
27,9.2,0.71,0.23,6.2,0.042,15,93,0.9948,2.89,0.34,10.1,white,California,6
28,6.1,0.34,0.46,4.7,0.029,21,94,0.991,3.29,0.62,12.3,white,California,6
29,6.8,0.25,0.18,1.4,0.056,13,137,0.9935,3.11,0.42,9.5,white,Texas,5
30,6.5,0.63,0.33,1.8,0.059,16,28,0.99531,3.36,0.64,10.1,red,California,6
31,9.2,0.31,0.36,2.2,0.079,11,31,0.99615,3.33,0.86,12,red,California,7
32,5.8,0.29,0.15,1.1,0.029,12,83,0.9898,3.3,0.4,11.4,white,Texas,6
33,7.1,0.34,0.31,5.2,0.032,36,140,0.99166,3.35,0.47,12.3,white,California,7
34,6.8,0.47,0.08,2.2,0.064,18,38,0.99553,3.3,0.65,9.6,red,California,6
35,8,0.44,0.49,9.1,0.031,46,151,0.9926,3.16,0.27,12.7,white,Texas,8
36,7.3,0.21,0.3,10.9,0.037,18,112,0.997,3.4,0.5,9.6,white,California,6
37,8.5,0.47,0.27,1.9,0.058,18,38,0.99518,3.16,0.85,11.1,red,California,6
38,7.1,0.18,0.39,14.5,0.051,48,156,0.99947,3.35,0.78,9.1,white,California,5
39,7,0.32,0.27,7.1,0.027,37,122,0.99165,3.15,0.6,12.6,white,California,7
40,6.3,0.34,0.19,5.8,0.041,22,145,0.9943,3.15,0.63,9.9,white,Texas,5
41,8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,red,Texas,5
