id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight
15000,I,1.325,1.0625,0.375,21.9708625,10.602713,4.56290925,5.2446575
15001,M,0.925,0.7125,0.25,7.55514175,2.721552,1.5025235,2.1262125
15002,F,1.2625,1.0,0.3125,19.80212575,9.695529,4.4508715,5.10291
15003,F,1.6125,1.25,0.4375,36.6559035,17.973583,8.731646,9.1001895
15004,I,1.3,1.0625,0.3625,20.36911575,9.70970375,4.63514325,5.5281525
15005,I,0.7,0.525,0.2,3.61456125,2.0128145,0.8788345,1.13398
15006,M,0.775,0.5875,0.1875,4.29494925,1.71514475,0.89300925,1.417475
15007,M,1.575,1.25,0.4625,32.89959475,10.81533425,7.484268,10.3475675
15008,F,1.275,1.0125,0.325,23.23241525,9.25611175,4.63514325,6.9456275
15009,M,1.25,1.025,0.35,18.5689225,8.34892775,4.082328,5.5281525
15010,I,1.35,1.0625,0.325,22.4244545,10.67358675,5.00368675,6.0951425
15011,F,1.5125,1.1375,0.375,29.80949925,13.87708025,6.78970525,7.654365
15012,F,1.625,1.25,0.4375,36.61337925,16.9246515,8.60407325,11.056305
15013,F,1.75,1.375,0.475,43.09124,19.220961,10.44679075,13.60776
15014,I,1.1,0.875,0.275,12.09106175,4.97533725,2.9199985,3.685435
15015,M,1.5,1.1375,0.4125,26.09571475,11.35397475,4.479221,8.9300925
15016,M,1.4,1.1,0.375,23.85610425,10.9712565,5.896696,7.7961125
15017,M,1.5875,1.2125,0.4,31.31202275,12.94154675,6.16601625,10.0640725
15018,M,1.6125,1.2625,0.4125,39.7743485,16.726205,8.85921875,11.4815475
15019,F,1.525,1.2375,0.4,36.7693015,16.612807,7.29999625,9.355335
15020,F,1.5875,1.25,0.45,39.19318375,16.3009625,8.051258,9.7805775
15021,M,1.5125,1.175,0.375,27.1304715,13.87708025,6.95980225,8.788345
15022,F,1.1,0.8375,0.275,13.90542975,5.6982495,3.86970675,3.40194
15023,F,1.6625,1.3125,0.45,43.70075425,19.447757,7.9095105,11.3398
15024,F,1.4,1.0875,0.35,23.416687,8.57572375,5.2446575,8.0796075
15025,M,1.3125,1.0125,0.375,19.15008725,8.54737425,4.139027,5.953395
15026,M,1.525,1.175,0.4125,31.53881875,11.736693,6.22271525,12.2186345
15027,I,1.1875,0.9375,0.3125,16.669506,8.12213175,3.64291075,4.9611625
15028,M,1.35,1.0625,0.3625,26.01066625,12.1619355,5.499803,7.37087
15029,F,1.5,1.2,0.35,27.839209,10.90038275,6.08096775,8.0796075
15030,F,1.2125,0.9625,0.3,14.5999925,5.37223025,3.4869885,4.9611625
15031,I,1.3625,1.025,0.35,21.4605715,8.88756825,4.32329875,6.23689
15032,F,1.5,1.25,0.3875,35.4652245,14.04717725,8.278054,11.90679
15033,I,1.2,0.9625,0.2625,15.195332,6.25106475,2.9199985,4.819415
15034,I,0.9625,0.7625,0.25,7.04485075,2.948348,1.644271,2.494756
15035,I,1.325,1.0125,0.325,16.9813505,6.81805475,3.6003865,5.5281525
15036,M,1.5125,1.225,0.4125,29.937072,11.04213025,7.69688925,8.77417025
15037,M,1.2875,1.0,0.325,18.38465075,8.51902475,3.72795925,4.762716
15038,M,1.575,1.2125,0.4125,35.67784575,16.42853525,7.66853975,8.9300925
15039,F,1.8,1.5,0.525,51.55356575,23.6151335,11.566596,14.8834875
15040,F,1.5625,1.2,0.4375,32.5168765,16.556108,6.4353365,8.9300925
15041,F,1.4,1.0375,0.4125,28.22192725,9.85145125,6.80388,8.788345
15042,I,1.5625,1.2375,0.425,31.65221675,13.721158,7.49844275,9.07184
15043,M,1.4,1.0875,0.4125,26.251637,10.262519,5.62737575,9.4970825
15044,F,1.5625,1.25,0.4875,38.85298975,16.896302,7.29999625,11.1980525
15045,F,1.425,1.1125,0.4,24.9192105,12.2186345,5.88252125,6.23689
15046,I,0.5625,0.4125,0.125,1.99863975,0.7087375,0.396893,0.56699
15047,M,1.4,1.125,0.3625,27.9242575,12.303683,5.62737575,7.37087
15048,F,1.6,1.25,0.4875,34.8415355,17.293195,7.087375,9.4970825
15049,I,1.275,0.975,0.3125,18.10115575,8.3631025,3.685435,5.2446575
15050,M,1.1625,0.9375,0.3125,11.55242125,5.10291,2.551455,4.53592
15051,F,1.3625,1.075,0.4,23.43086175,10.149121,5.10291,7.7961125
15052,I,0.9625,0.7125,0.2375,7.49844275,3.44446425,1.88524175,2.26796
15053,F,1.175,0.9375,0.3625,14.75591475,5.499803,3.4869885,4.819415
15054,F,1.675,1.3625,0.5125,45.20327775,21.67319275,9.015141,13.60776
15055,M,1.525,1.1875,0.4125,29.97959625,10.9712565,6.350288,10.20582
15056,I,1.5375,1.1875,0.4125,29.41260625,13.4660125,6.6054335,8.0796075
15057,F,1.725,1.3375,0.4375,46.096287,20.4966885,8.29222875,12.3320325
15058,I,0.775,0.5625,0.1875,3.3168915,1.2190285,0.83631025,1.13398
15059,M,1.475,1.1625,0.3625,26.138239,11.35397475,6.64795775,7.93786
15060,M,1.4375,1.1,0.35,24.323871,7.3425205,4.86193925,8.0796075
15061,I,0.95,0.725,0.25,7.2858215,3.2601925,1.63009625,2.4097075
15062,I,1.4125,1.075,0.3375,22.04173625,11.4248485,4.706017,6.3786375
15063,M,1.5,1.2125,0.4,29.313383,12.3887315,6.30776375,8.50485
15064,M,1.35,1.05,0.35,22.01338675,9.63883,5.8683465,5.386405
15065,F,1.5375,1.225,0.4125,31.808139,14.6566915,6.56290925,8.9300925
15066,I,0.7875,0.575,0.2,3.86970675,1.63009625,0.80796075,1.1623295
15067,F,1.55,1.175,0.375,29.5685285,11.9918385,7.7961125,8.6465975
15068,F,1.6375,1.3125,0.4375,38.1867765,16.726205,8.37727725,10.19164525
15069,F,1.2375,0.95,0.35,15.3370795,7.01650125,3.9405805,4.819415
15070,I,0.875,0.65,0.225,5.06038575,2.45223175,1.28990225,1.5592225
15071,I,1.45,1.15,0.475,29.937072,11.4248485,6.67630725,10.3475675
15072,F,1.2875,0.975,0.3125,24.42309425,10.75863525,4.86193925,7.2291225
15073,F,1.4875,1.1375,0.4,29.97959625,11.43902325,6.59125875,8.221355
15074,I,1.1875,0.9375,0.3125,14.118051,6.066793,2.2963095,3.96893
15075,F,1.425,1.15,0.4,27.725811,12.77144975,5.046211,8.3631025
15076,I,0.5875,0.4375,0.1375,1.54504775,0.58116475,0.396893,0.56699
15077,I,0.85,0.6375,0.225,5.5281525,2.211261,1.14815475,1.2757275
15078,F,1.6125,1.25,0.4375,39.02308675,16.96717575,8.83086925,12.0485375
15079,I,1.3375,1.0375,0.35,16.896302,8.17883075,3.64291075,4.9611625
15080,F,1.5,1.25,0.3875,35.3518265,13.99047825,7.27164675,11.3398
15081,I,1.275,0.95,0.35,18.01610725,8.83086925,3.04757125,5.5281525
15082,I,1.0125,0.775,0.2125,9.93649975,4.69184225,2.05533875,3.118445
15083,M,1.4875,1.175,0.4,32.31843,11.4248485,6.36446275,10.489315
15084,F,1.625,1.3125,0.5,35.777069,14.685041,8.68912175,11.1980525
15085,F,1.5125,1.1875,0.425,32.1199835,14.69921575,7.257472,9.4970825
15086,M,1.3875,1.1,0.3875,20.638436,8.32057825,4.5075705,6.23689
15087,F,1.575,1.225,0.4625,43.6298805,18.80989325,7.98038425,10.489315
15088,I,1.3125,0.95,0.3125,13.8062065,5.37223025,3.40194,4.3941725
15089,F,1.525,1.2125,0.4375,36.7693015,11.8784405,9.808927,10.0640725
15090,M,1.5375,1.1875,0.3875,29.7386255,12.40290625,6.19436575,8.0796075
15091,F,1.4625,1.1625,0.3875,29.48348,12.37455675,6.98815175,8.0796075
15092,F,1.45,1.1,0.3625,26.09571475,12.927372,5.273007,7.7961125
15093,F,1.3375,1.125,0.3125,25.3728025,10.262519,6.577084,6.520385
