id,Sex,Diameter,Length,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
1,M,1.025,1.3125,0.3125,20.96445525,9.8939755,4.40834725,5.06038575,8
2,M,0.975,1.225,0.3375,18.71067,9.6104805,3.7704835,4.69184225,8
3,F,1.375,1.7375,0.5,54.0624965,19.447757,14.92601175,14.21727425,11
4,M,1.0625,1.375,0.3375,22.66542525,10.90038275,5.556502,6.42116175,9
5,I,0.8875,1.1625,0.3,14.04717725,6.0951425,2.608154,3.96893,8
6,M,1.125,1.4,0.3875,26.09571475,10.432616,6.95980225,7.93786,14
7,M,1.1375,1.425,0.3625,27.91008275,12.60135275,5.8683465,7.9095105,11
8,I,0.775,1.025,0.25,8.5331995,3.515338,1.871067,2.6932025,6
9,I,0.5125,0.7,0.1375,3.30271675,1.60174675,0.18427175,0.9922325,5
10,F,1.2625,1.5875,0.4,40.25629,15.37960375,7.47009325,11.1980525,20
11,F,1.3125,1.65,0.4625,42.51007525,17.76096175,9.9506745,11.1980525,11
12,I,1.0125,1.2375,0.3625,18.24290325,8.74582075,3.6570855,5.953395,11
13,I,1.125,1.4375,0.325,24.777463,13.9196045,4.649318,6.23689,8
14,M,0.9125,1.1875,0.275,11.6516445,5.74077375,2.778251,3.6570855,8
15,M,0.8875,1.175,0.4,12.65805175,5.71242425,2.608154,4.3941725,14
16,I,0.2875,0.425,0.1625,0.850485,0.35436875,0.1417475,0.1417475,4
17,F,0.9625,1.225,0.325,19.43358225,8.60407325,4.66349275,5.37223025,15
18,M,1.0125,1.275,0.3,23.5584345,13.16834275,5.42892925,5.8116475,8
19,M,1.1,1.4,0.3125,28.64716975,11.736693,5.96756975,7.37087,11
20,F,0.9875,1.25,0.35,20.25571775,9.5537815,4.4508715,5.2446575,8
21,M,1.25,1.675,0.5125,40.78075575,18.5689225,9.22776225,13.04077,13
22,M,1.2,1.55,0.4375,34.359594,16.68368075,5.85417175,9.63883,9
23,M,1.3125,1.6,0.425,40.3413385,17.7751365,8.8166945,10.9145575,11
24,M,0.9625,1.2,0.3,17.4349425,8.09378225,3.288542,4.9611625,9
25,F,1.3625,1.7375,0.45,44.22522,19.46193175,10.44679075,13.04077,12
26,F,1.2875,1.6,0.45,43.318036,14.92601175,9.48290775,13.60776,17
27,M,1.3125,1.8,0.5,50.6605565,19.5895045,10.70193625,12.3320325,12
28,F,1.1875,1.475,0.5125,35.3518265,10.61688775,9.51125725,11.3398,14
29,I,1.0625,1.375,0.3375,21.659018,9.31281075,4.6209685,5.953395,8
30,F,1.225,1.5625,0.4125,34.5013415,15.0535845,7.3992195,8.3631025,11
31,I,0.9375,1.225,0.3,13.834556,5.1312595,3.33106625,4.819415,8
32,M,1.1,1.4125,0.4,24.2955215,11.8217415,4.60679375,7.8528115,8
33,I,0.8375,1.175,0.2875,10.375917,5.443104,2.99087225,3.2601925,8
34,I,0.9125,1.1875,0.3125,14.855138,6.67630725,3.10427025,4.3941725,8
35,M,1.225,1.55,0.375,29.1149365,14.16057525,6.6621325,8.50485,9
36,I,0.6,0.775,0.225,4.26659975,1.9561155,1.40330025,1.360776,6
37,F,1.2,1.6,0.375,32.31843,11.793392,8.7599955,8.50485,10
