Subject,Educ,Income2005
2,12,5500
6,16,65000
7,12,19000
8,13-15,36000
9,13-15,65000
13,16,8000
16,13-15,71000
17,13-15,43000
18,13-15,120000
20,>16,64000
21,16,253043
22,16,45300
29,12,85000
34,13-15,150432
37,12,37000
38,12,70000
39,12,67000
41,13-15,120000
42,12,45000
44,12,7200
46,>16,42000
47,12,66309
49,13-15,34000
57,12,12000
58,>16,55500
61,13-15,63000
62,13-15,30000
63,16,108000
69,>16,120000
73,>16,186135
78,16,14657
86,<12,14000
87,12,17000
89,16,62000
97,13-15,49000
105,12,40000
106,16,105000
107,16,43000
117,13-15,83000
119,16,12000
120,16,150000
121,>16,41000
126,13-15,85000
129,16,80000
133,12,52000
137,16,175829
138,16,8000
139,13-15,120000
140,>16,65000
141,>16,44768
143,13-15,52000
145,12,10000
146,12,50000
147,13-15,12000
148,12,21800
149,12,95000
152,12,85000
156,<12,14000
158,>16,35100
160,13-15,65000
162,>16,76000
165,12,50000
166,13-15,82000
174,13-15,48000
179,12,29000
184,16,6000
185,12,34000
186,>16,65000
188,<12,15000
190,>16,92000
191,>16,118000
192,16,26000
193,16,105000
195,>16,348204
197,12,17000
198,>16,130000
199,12,38000
200,12,35000
201,16,16000
202,13-15,55000
207,12,32000
210,16,50000
218,16,261763
219,>16,102000
220,>16,105000
228,<12,1600
230,13-15,55000
232,13-15,45000
233,12,39000
234,12,140000
235,13-15,98000
236,13-15,30000
239,<12,9000
240,12,38000
242,12,75000
243,12,94600
244,12,5000
245,13-15,25000
247,>16,79000
248,13-15,2000
253,<12,20000
256,13-15,3000
257,12,22000
259,12,14000
260,13-15,65000
269,16,154541
273,13-15,61500
274,13-15,45000
275,13-15,52000
279,12,64500
281,>16,99000
282,16,14000
283,12,53000
284,12,90000
285,<12,35000
290,<12,19000
294,12,12000
299,<12,25000
306,13-15,40000
310,12,70000
313,<12,37000
317,16,31500
321,16,69000
323,12,80000
324,<12,23000
327,16,28000
335,13-15,10000
341,13-15,125000
342,>16,96000
346,16,120000
348,12,164307
350,>16,100000
351,12,39000
354,12,9600
355,13-15,120000
356,<12,50000
357,16,80000
358,16,110000
359,16,60000
360,>16,34000
362,12,48000
367,16,58000
369,16,12000
370,16,20000
373,12,9000
375,12,17500
376,>16,47000
377,12,10000
381,12,105000
385,12,41500
386,12,43000
388,13-15,70000
391,12,35000
392,12,60000
393,13-15,68000
399,>16,62500
400,16,75000
401,12,11500
405,13-15,26000
408,12,68000
409,16,180733
410,12,31085
411,12,16000
414,13-15,21000
418,13-15,28000
422,>16,55000
426,12,82000
433,12,21528
434,12,59000
437,12,22000
438,13-15,36000
439,16,77000
442,13-15,15000
443,13-15,47000
444,16,1500
445,16,40000
446,12,32000
449,12,14000
453,13-15,40300
456,>16,50000
457,16,53000
458,>16,65000
459,>16,10000
460,13-15,21400
461,16,85000
464,13-15,78000
465,12,12000
467,16,20000
470,12,46000
479,16,86000
480,>16,60000
481,>16,388725
482,>16,122000
484,12,30000
485,12,12000
486,12,196424
489,13-15,85000
491,12,20000
495,13-15,29821
496,16,25000
499,13-15,36000
500,13-15,53000
501,>16,25000
502,12,90000
503,12,23000
505,12,28000
506,16,43000
520,16,73000
521,>16,80000
527,13-15,50000
533,13-15,5000
535,12,20000
540,12,60000
543,12,98000
547,<12,69000
548,12,15000
550,12,22000
553,16,10000
554,>16,1100
556,>16,147000
557,>16,1200
558,>16,36000
560,13-15,78500
561,>16,42000
562,>16,55000
564,13-15,5000
565,13-15,55000
583,13-15,36000
585,<12,25000
594,12,80000
597,<12,500
604,13-15,40000
606,13-15,35000
608,16,27000
609,16,32000
612,16,46136
613,12,95000
616,12,25000
622,13-15,36500
631,<12,18000
632,12,4000
636,12,40000
639,12,35000
640,12,42000
645,16,163172
646,12,12500
647,12,61000
649,>16,110000
650,16,58000
653,>16,96000
659,13-15,75000
662,12,22000
663,16,85000
