ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,default payment next month
11931,10000,2,5,2,21,0,0,0,0,0,-2,7691,0
6430,10000,1,2,2,21,0,0,0,0,0,0,9042,1
20375,10000,1,2,2,21,0,0,0,0,0,0,7327,0
8491,10000,1,3,2,21,0,0,2,0,0,0,4797,0
20378,10000,1,2,2,21,2,0,0,0,0,0,8999,1
11905,10000,1,2,2,21,0,0,-2,-2,-2,-2,9900,1
25171,10000,2,2,2,21,-1,-1,2,0,0,0,8126,0
20408,10000,1,2,2,21,0,0,0,0,0,0,7427,0
4272,10000,1,2,2,21,0,0,0,0,-1,-1,6703,0
27631,10000,2,2,2,21,2,2,3,2,0,0,6795,1
3309,10000,2,2,2,21,0,0,0,0,0,0,7888,0
25183,10000,2,2,2,21,2,0,0,0,-1,-1,9917,1
16989,10000,2,1,2,21,0,0,0,2,0,0,8278,0
4391,10000,2,2,2,21,0,0,0,-1,-1,-2,8660,1
2213,10000,1,2,2,21,0,0,0,0,0,0,7985,0
16488,20000,1,2,2,21,2,0,0,2,0,0,19820,1
530,20000,2,2,2,21,-1,-1,2,2,-1,-1,18763,0
23934,20000,1,2,2,21,0,0,0,0,-1,-1,20070,0
23906,20000,1,2,2,21,0,0,0,-1,0,0,23675,0
12351,20000,1,2,2,21,0,0,0,-2,-2,-2,19030,0
21577,20000,2,2,2,21,0,0,0,0,0,0,10109,0
6734,20000,2,2,2,21,0,0,0,0,0,0,18770,0
21547,20000,2,2,2,21,0,0,0,0,0,0,19039,0
9259,20000,2,2,2,21,0,0,0,0,0,0,20040,1
2207,20000,2,1,2,21,0,0,0,0,0,-1,17471,0
1225,20000,1,2,2,21,0,0,-1,0,0,-2,20297,0
18343,20000,2,2,2,21,1,2,2,0,0,0,18455,0
5484,20000,2,2,2,21,0,-1,-1,-2,-2,-2,20000,0
14390,20000,1,2,2,21,0,0,-1,0,0,0,19739,0
18342,20000,2,2,1,21,-1,0,0,0,2,0,17617,0
25303,20000,2,2,1,21,0,0,0,2,0,0,14326,0
8851,20000,2,1,2,21,0,0,0,0,0,0,17374,0
12557,20000,2,2,1,21,1,-2,-1,-1,-2,-2,0,1
5236,20000,2,2,2,21,1,3,2,2,-1,-1,21003,1
18345,20000,2,1,2,21,0,0,-1,-1,-1,0,2798,0
7184,20000,2,2,2,21,0,0,0,-2,-2,-2,13717,0
23928,20000,1,6,2,21,0,0,0,0,0,-2,13203,1
21721,20000,2,2,2,21,0,0,0,0,0,0,19382,0
1472,20000,1,2,2,21,0,0,2,0,0,-2,19277,1
7860,20000,2,2,2,21,0,0,2,0,0,0,13660,0
23933,20000,1,2,2,21,0,0,0,0,0,0,22291,0
23907,20000,1,2,2,21,0,0,0,0,0,0,18671,0
27663,20000,2,2,2,21,-1,-1,2,2,-2,-2,390,1
21599,30000,2,2,2,21,0,0,0,0,0,0,9696,0
17000,30000,2,2,2,21,0,0,0,0,0,0,28028,0
6014,30000,2,2,2,21,0,0,0,0,0,0,28871,0
25174,30000,2,2,1,21,0,0,0,0,0,0,28640,0
7985,30000,2,3,2,21,2,2,2,0,0,0,28309,0
4486,30000,1,2,2,21,0,0,0,0,0,0,26587,1
21720,30000,2,2,1,21,0,0,0,0,0,0,28404,0
21737,30000,2,3,1,21,0,0,0,0,2,0,28884,1
12306,30000,2,2,2,21,-1,-1,0,0,-1,-1,290,0
8413,30000,2,2,2,21,0,0,0,0,0,0,26757,1
15155,30000,2,2,2,21,2,0,0,2,-1,-1,23243,1
12354,30000,2,1,2,21,2,2,0,0,0,-2,30769,1
15726,30000,2,2,2,21,0,0,0,0,0,0,28409,0
11639,30000,2,2,2,21,0,0,0,0,0,-2,10406,1
7142,30000,2,2,2,21,-2,-2,-2,-2,-2,-2,0,0
6087,30000,2,2,2,21,0,0,0,0,0,0,17444,0
25175,30000,2,1,2,21,1,2,0,0,0,0,33300,1
12925,30000,2,3,1,21,4,3,2,0,0,0,32179,1
13706,50000,1,2,1,21,-1,0,0,0,0,0,47285,0
9582,50000,1,2,2,21,0,0,0,0,0,0,21023,0
15729,50000,2,1,2,21,0,0,0,0,0,0,36809,0
3148,50000,2,2,2,21,-1,-1,-1,-1,-1,-1,390,1
14104,50000,2,5,2,21,0,0,0,0,0,0,1211,0
3285,60000,2,2,2,21,0,0,0,0,0,0,40969,0
6917,10000,1,1,2,22,2,2,2,0,0,2,6883,1
2243,10000,2,2,2,22,1,2,2,2,0,0,8925,0
6609,10000,2,2,2,22,0,0,0,0,0,2,5964,0
17086,10000,2,2,2,22,0,0,2,2,2,0,6759,1
27655,10000,2,3,2,22,2,0,0,0,-1,0,7720,1
703,10000,2,3,2,22,0,0,0,0,-2,-2,8109,1
10445,10000,2,2,1,22,-1,-1,-1,0,0,0,390,0
12605,10000,2,3,2,22,1,2,0,0,2,0,8846,0
26718,10000,1,1,2,22,0,-1,-1,-1,-1,-1,1483,0
25179,10000,2,1,2,22,0,0,0,0,0,0,7302,1
27637,10000,2,2,2,22,1,-2,-2,-2,-2,-2,0,0
10831,10000,1,2,2,22,2,0,0,-1,-1,-2,8631,1
15767,10000,2,1,2,22,1,3,3,2,0,0,6251,0
15611,10000,2,1,2,22,0,0,0,0,0,-2,9791,1
27763,10000,2,2,2,22,-1,-1,2,0,0,2,3646,0
17020,10000,2,1,2,22,0,0,2,0,0,0,6967,1
4194,10000,2,1,2,22,1,3,2,2,2,2,8352,0
4966,10000,2,2,2,22,0,0,-1,0,0,-2,7418,0
