Name,Beer_ID,ABV,IBU,Brewery_id,Style,Ounces
Pub Beer,1436,0.05,,409,American Pale Lager,12
Devil's Cup,2265,0.066,,178,American Pale Ale (APA),12
Rise of the Phoenix,2264,0.071,,178,American IPA,12
Sinister,2263,0.09,,178,American Double / Imperial IPA,12
Sex and Candy,2262,0.075,,178,American IPA,12
Black Exodus,2261,0.077,,178,Oatmeal Stout,12
Lake Street Express,2260,0.045,,178,American Pale Ale (APA),12
Foreman,2259,0.065,,178,American Porter,12
Jade,2258,0.055,,178,American Pale Ale (APA),12
Cone Crusher,2131,0.086,,178,American Double / Imperial IPA,12
Sophomoric Saison,2099,0.072,,178,Saison / Farmhouse Ale,12
Regional Ring Of Fire,2098,0.073,,178,Saison / Farmhouse Ale,12
Garce Selé,2097,0.069,,178,Saison / Farmhouse Ale,12
Troll Destroyer,1980,0.085,,178,Belgian IPA,12
Bitter Bitch,1979,0.061,60,178,American Pale Ale (APA),12
Ginja Ninja,2318,0.06,,155,Cider,12
Cherried Away,2170,0.06,,155,Cider,12
Rhubarbarian,2169,0.06,,155,Cider,12
BrightCider,1502,0.06,,155,Cider,12
He Said Baltic-Style Porter,1593,0.082,,369,Baltic Porter,12
He Said Belgian-Style Tripel,1592,0.082,,369,Tripel,12
Lower De Boom,1036,0.099,92,369,American Barleywine,8.4
Fireside Chat,1024,0.079,45,369,Winter Warmer,12
Marooned On Hog Island,976,0.079,,369,American Stout,12
Bitter American,876,0.044,42,369,American Pale Ale (APA),12
Hell or High Watermelon Wheat (2009),802,0.049,17,369,Fruit / Vegetable Beer,12
Hell or High Watermelon Wheat (2009),801,0.049,17,369,Fruit / Vegetable Beer,12
21st Amendment Watermelon Wheat Beer (2006),800,0.049,17,369,Fruit / Vegetable Beer,12
21st Amendment IPA (2006),799,0.07,70,369,American IPA,12
Brew Free! or Die IPA (2008),797,0.07,70,369,American IPA,12
Brew Free! or Die IPA (2009),796,0.07,70,369,American IPA,12
Special Edition: Allies Win The War!,531,0.085,52,369,English Strong Ale,12
Hop Crisis,432,0.097,94,369,American Double / Imperial IPA,12
Bitter American (2011),353,0.044,42,369,American Pale Ale (APA),12
Fireside Chat (2010),321,0.079,45,369,Winter Warmer,12
Back in Black,173,0.068,65,369,American Black Ale,12
Monk's Blood,11,0.083,35,369,Belgian Dark Ale,12
Brew Free! or Die IPA,10,0.07,65,369,American IPA,12
Hell or High Watermelon Wheat,9,0.049,17,369,Fruit / Vegetable Beer,12
Bimini Twist,2519,0.07,82,68,American IPA,12
Beach Blonde,2518,0.05,,68,American Blonde Ale,12
Rod Bender Red,2517,0.059,,68,American Amber / Red Ale,12
Passion Fruit Prussia,2545,0.035,11,61,Berliner Weissbier,12
Send Help,2544,0.045,18,61,American Blonde Ale,12
Cast Iron Oatmeal Brown,2324,0.055,,61,American Brown Ale,12
Reprise Centennial Red,2288,0.06,,61,American Amber / Red Ale,12
Alter Ego,2287,0.055,,61,American Black Ale,12
Divided Sky,2286,0.065,,61,American IPA,12
Resurrected,2285,0.065,,61,American IPA,12
Contact High,1870,0.05,28,61,American Pale Wheat Ale,12
Galaxyfest,2603,0.065,,28,American IPA,16
Citrafest,2602,0.05,45,28,American IPA,16
Barn Yeti,2220,0.09,,28,Belgian Strong Dark Ale,16
