ID,Attrition
1171,Yes
1172,Yes
1173,Yes
1174,Yes
1175,Yes
1176,Yes
1177,Yes
1178,Yes
1179,Yes
1180,Yes
1181,Yes
1182,Yes
1183,Yes
1184,Yes
1185,Yes
1186,Yes
1187,Yes
1188,Yes
1189,Yes
1190,Yes
1191,Yes
1192,Yes
1193,Yes
1194,Yes
1195,Yes
1196,Yes
1197,Yes
1198,Yes
1199,Yes
1200,Yes
1201,Yes
1202,Yes
1203,Yes
1204,Yes
1205,Yes
1206,Yes
1207,Yes
1208,Yes
1209,Yes
1210,Yes
1211,Yes
1212,Yes
1213,Yes
1214,Yes
1215,Yes
1216,Yes
1217,Yes
1218,Yes
1219,Yes
1220,Yes
1221,Yes
1222,Yes
1223,Yes
1224,Yes
1225,Yes
1226,Yes
1227,Yes
1228,Yes
1229,Yes
1230,Yes
1231,Yes
1232,Yes
1233,Yes
1234,Yes
1235,Yes
1236,Yes
1237,Yes
1238,Yes
1239,Yes
1240,Yes
1241,Yes
1242,Yes
1243,Yes
1244,Yes
1245,Yes
1246,Yes
1247,Yes
1248,Yes
1249,Yes
1250,Yes
1251,Yes
1252,Yes
1253,Yes
1254,Yes
1255,Yes
1256,Yes
1257,Yes
1258,Yes
1259,Yes
1260,Yes
1261,Yes
1262,Yes
1263,Yes
1264,Yes
1265,Yes
1266,Yes
1267,Yes
1268,Yes
1269,Yes
1270,Yes
1271,Yes
1272,Yes
1273,Yes
1274,Yes
1275,Yes
1276,Yes
1277,Yes
1278,Yes
1279,Yes
1280,Yes
1281,Yes
1282,Yes
1283,Yes
1284,Yes
1285,Yes
1286,Yes
1287,Yes
1288,Yes
1289,Yes
1290,Yes
1291,Yes
1292,Yes
1293,Yes
1294,Yes
1295,Yes
1296,Yes
1297,Yes
1298,Yes
1299,Yes
1300,Yes
1301,Yes
1302,Yes
1303,Yes
1304,Yes
1305,Yes
1306,Yes
1307,Yes
1308,Yes
1309,Yes
1310,Yes
1311,Yes
1312,Yes
1313,Yes
1314,Yes
1315,Yes
1316,Yes
1317,Yes
1318,Yes
1319,Yes
1320,Yes
1321,Yes
1322,Yes
1323,Yes
1324,Yes
1325,Yes
1326,Yes
1327,Yes
1328,Yes
1329,Yes
1330,Yes
1331,Yes
1332,Yes
1333,Yes
1334,Yes
1335,Yes
1336,Yes
1337,Yes
1338,Yes
1339,Yes
1340,Yes
1341,Yes
1342,Yes
1343,Yes
1344,Yes
1345,Yes
1346,Yes
1347,Yes
1348,Yes
1349,Yes
1350,Yes
1351,Yes
1352,Yes
1353,Yes
1354,Yes
1355,Yes
1356,Yes
1357,Yes
1358,Yes
1359,Yes
1360,Yes
1361,Yes
1362,Yes
1363,Yes
1364,Yes
1365,Yes
1366,Yes
1367,Yes
1368,Yes
1369,Yes
1370,Yes
1371,Yes
1372,Yes
1373,Yes
1374,Yes
1375,Yes
1376,Yes
1377,Yes
1378,Yes
1379,Yes
1380,Yes
1381,Yes
1382,Yes
1383,Yes
1384,Yes
1385,Yes
1386,Yes
1387,Yes
1388,Yes
1389,Yes
1390,Yes
1391,Yes
1392,Yes
1393,Yes
1394,Yes
1395,Yes
1396,Yes
1397,Yes
1398,Yes
1399,Yes
1400,Yes
1401,Yes
1402,Yes
1403,Yes
1404,Yes
1405,Yes
1406,Yes
1407,Yes
1408,Yes
1409,Yes
1410,Yes
1411,Yes
1412,Yes
1413,Yes
1414,Yes
1415,Yes
1416,Yes
1417,Yes
1418,Yes
1419,Yes
1420,Yes
1421,Yes
1422,Yes
1423,Yes
1424,Yes
1425,Yes
1426,Yes
1427,Yes
1428,Yes
1429,Yes
1430,Yes
1431,Yes
1432,Yes
1433,Yes
1434,Yes
1435,Yes
1436,Yes
1437,Yes
1438,Yes
1439,Yes
1440,Yes
1441,Yes
1442,Yes
1443,Yes
1444,Yes
1445,Yes
1446,Yes
1447,Yes
1448,Yes
1449,Yes
1450,Yes
1451,Yes
1452,Yes
1453,Yes
1454,Yes
1455,Yes
1456,Yes
1457,Yes
1458,Yes
1459,Yes
1460,Yes
1461,Yes
1462,Yes
1463,Yes
1464,Yes
1465,Yes
1466,Yes
1467,Yes
1468,Yes
1469,Yes
1470,Yes
