Brew_ID,Name,City,State
1,NorthGate Brewing ,Minneapolis, MN
2,Against the Grain Brewery,Louisville, KY
3,Jack's Abby Craft Lagers,Framingham, MA
4,Mike Hess Brewing Company,San Diego, CA
5,Fort Point Beer Company,San Francisco, CA
6,COAST Brewing Company,Charleston, SC
7,Great Divide Brewing Company,Denver, CO
8,Tapistry Brewing,Bridgman, MI
9,Big Lake Brewing,Holland, MI
10,The Mitten Brewing Company,Grand Rapids, MI
11,Brewery Vivant,Grand Rapids, MI
12,Petoskey Brewing,Petoskey, MI
13,Blackrocks Brewery,Marquette, MI
14,Perrin Brewing Company,Comstock Park, MI
15,Witch's Hat Brewing Company,South Lyon, MI
16,Founders Brewing Company,Grand Rapids, MI
17,Flat 12 Bierwerks,Indianapolis, IN
18,Tin Man Brewing Company,Evansville, IN
19,Black Acre Brewing Co.,Indianapolis, IN
20,Brew Link Brewing,Plainfield, IN
21,Bare Hands Brewery,Granger, IN
22,Three Pints Brewing,Martinsville, IN
23,Four Fathers Brewing ,Valparaiso, IN
24,Indiana City Brewing,Indianapolis, IN
25,Burn 'Em Brewing,Michigan City, IN
26,Sun King Brewing Company,Indianapolis, IN
27,Evil Czech Brewery,Mishawaka, IN
28,450 North Brewing Company,Columbus, IN
29,Taxman Brewing Company,Bargersville, IN
30,Cedar Creek Brewery,Seven Points, TX
31,SanTan Brewing Company,Chandler, AZ
32,Boulevard Brewing Company,Kansas City, MO
33,James Page Brewing Company,Stevens Point, WI
34,The Dudes' Brewing Company,Torrance, CA
35,Ballast Point Brewing Company,San Diego, CA
36,Anchor Brewing Company,San Francisco, CA
37,Figueroa Mountain Brewing Company,Buellton, CA
38,Avery Brewing Company,Boulder, CO
39,Twisted X Brewing Company,Dripping Springs, TX
40,Gonzo's BiggDogg Brewing,Kalamazoo, MI
41,Big Muddy Brewing,Murphysboro, IL
42,Lost Nation Brewing,East Fairfield, VT
43,Rising Tide Brewing Company,Portland, ME
44,Rivertowne Brewing Company,Export, PA
45,Revolution Brewing Company,Chicago, IL
46,Tallgrass Brewing Company,Manhattan, KS
47,Sixpoint Craft Ales,Brooklyn, NY
48,White Birch Brewing,Hooksett, NH
49,Firestone Walker Brewing Company,Paso Robles, CA
50,SweetWater Brewing Company,Atlanta, GA
51,Flying Mouse Brewery,Troutville, VA
52,Upslope Brewing Company,Boulder, CO
53,Pipeworks Brewing Company,Chicago, IL
